gene_name,LFC,logP
SOAT1,-0.22617,0.486303076
C10orf131,-0.26814,0.486276462
AGO3,-0.30816,0.486130116
MS4A15,0.12372,0.486090212
B4GALT3,-0.20927,0.485957226
UGT1A6,0.007953,0.485904042
USP6NL,0.086465,0.485837572
GLOD5,-0.0035617,0.48582428
CFC1,-0.38327,0.485744532
OSBPL1A,0.18487,0.485731242
Control_201,-0.11379,0.485691374
PRKG1,0.038944,0.485664798
GLYATL2,-0.24019,0.485651511
FECH,-0.32663,0.485638224
SLC27A5,0.10781,0.485611651
GPR152,-0.24123,0.485531942
THOC7,-0.000055602,0.485505375
RTN4RL1,0.12572,0.485425686
Control_203,-0.12465,0.485425686
DDX6,-0.32865,0.485425686
Control_152,-0.15763,0.485359289
BCDIN3D,-0.46119,0.485319456
TRIM39-RPP21,-0.23302,0.485186705
LYL1,-0.24376,0.485093804
LRMP,-0.46727,0.485080534
GUCA1A,-0.28901,0.485027457
OR1M1,0.15973,0.484987655
C14orf169,0.17804,0.484947856
VTA1,0.12494,0.484947856
CEP68,-0.22443,0.484921325
KCTD14,-0.1185,0.484801957
CMTM8,-0.1385,0.484788696
EIF5B,0.093214,0.484762175
BCL9,0.029404,0.484709138
PRKAG3,0.075209,0.484656107
AURKAIP1,-0.27405,0.484576573
PIK3R1,-0.20871,0.484497054
ITGAX,-0.18275,0.484483802
MRPS22,-0.32408,0.484338059
RNF2,0.099759,0.484073197
THOP1,-0.29961,0.484046719
NOVA1,0.19286,0.48399377
SLC17A6,0.076487,0.48399377
OR5K4,-0.33808,0.483967297
KIR2DL4,-0.32038,0.483927591
MAGEA9B,0.087597,0.483874656
KCNA2,-0.20454,0.483848191
TEX2,-0.12678,0.483821727
NCOA1,0.076081,0.483782035
FAM169B,-0.23364,0.483768805
KCTD1,-0.18004,0.483729117
TXNDC8,-0.050085,0.483676206
TRMT10C,-0.48825,0.483636527
ZMYM1,-0.1608,0.483570403
DLGAP5,-0.23492,0.483570403
TENM3,-0.10983,0.483530734
DACT2,0.022086,0.48350429
FOS,-0.23572,0.48350429
RNF103,-0.22785,0.483398528
MPHOSPH8,0.091761,0.4830814
Control_231,-0.080619,0.482975742
PTPN2,-0.04337,0.482949331
TRNAU1AP,-0.047519,0.482949331
ZNF783,-0.18159,0.482909718
SPARC,0.025459,0.482896515
SLC22A3,-0.066872,0.482843705
SH2B3,-0.26319,0.482817303
NEK2,-0.078047,0.482751303
IDH3G,0.055746,0.482658921
HORMAD2,0.052726,0.482619335
APLP1,0.12114,0.482592946
RCOR3,0.092379,0.482566559
UBE3C,0.07159,0.482553366
C8B,0.020741,0.482553366
DNAJC15,-0.35344,0.482553366
OR5D13,0.1343,0.482513789
ATP5B,-0.70864,0.482513789
Control_121,0.1199,0.482487407
SLC5A11,-0.11782,0.482487407
CNTNAP3,0.27442,0.482434647
FOXI2,-0.39037,0.482342332
ENPP4,-0.099048,0.482276405
SCO2,-0.2748,0.482236854
NRG1,0.16006,0.482197306
SLC10A4,0.15823,0.482184124
POTEI,-0.14396,0.482170943
HOXB5,-0.19345,0.482170943
PAK1IP1,-0.28204,0.482131401
ARHGAP32,0.029485,0.482105042
OR2T5,-0.13291,0.482105042
HOXB4,-0.2537,0.482105042
BANP,-0.75644,0.482091863
POC5,0.12114,0.482025974
LCE3B,-0.31013,0.482012797
PPP2R5C,-0.38684,0.481986445
SIRT1,0.19608,0.48194692
DCBLD1,-0.20059,0.481828366
RASSF9,-0.16317,0.481802026
CTAGE9,-0.39037,0.481802026
PROZ,0.10477,0.481788856
PIP4K2C,-0.41399,0.48165718
MED28,-0.31041,0.481591356
FAM189A2,0.15964,0.481512382
TRAFD1,0.042885,0.4814729
ENDOG,0.25578,0.481420263
HIBCH,-0.30081,0.481393947
STAT3,-0.2027,0.481301853
SNRNP35,0.052599,0.481130874
THG1L,-0.21452,0.481091426
USPL1,0.25634,0.481012543
SLC38A2,-0.60119,0.480973106
C20orf62,-0.26378,0.480933673
TOR1AIP2,0.033575,0.480907387
AK1,0.048201,0.480881101
ADAMTS7,0.048023,0.480762839
CSDE1,-0.34719,0.480526409
TBL1Y,0.18652,0.480473887
TMEM104,-0.14507,0.480473887
PITPNM1,0.17853,0.480460757
WT1,-0.037695,0.480434499
FAM65B,0.16036,0.480421371
MORN4,-0.079683,0.480316358
ZNF571,-0.22141,0.480303233
MAGEE1,-0.20044,0.480276984
CLEC7A,0.14387,0.480250737
TAS2R7,0.12986,0.480172006
HCAR1,0.0048111,0.480132646
ZBTB9,-0.33103,0.480080171
PPP3CC,-0.10334,0.480027703
LDHA,-0.23228,0.480014587
CHMP2B,-0.33899,0.480001471
DEFB125,0.17308,0.479975241
SLC35G5,0.038905,0.479975241
HHEX,-0.15412,0.479949012
PLAC1,-0.05539,0.479909672
ZDBF2,-0.26592,0.479909672
RAB11FIP1,-0.21539,0.479844113
ZNF20,-0.098272,0.479791673
RIOK2,-0.18604,0.479765456
GNAS,0.051546,0.479634391
CPA2,-0.11147,0.479621287
FMNL1,0.12838,0.479608183
RALGPS2,-0.34228,0.479608183
PPIL4,-0.18424,0.479555772
SPATA6L,0.08225,0.479477166
SLAMF7,0.12558,0.479424771
PHF21A,-0.18059,0.479372381
RNASE10,0.0059835,0.479149797
DYNLRB2,-0.26697,0.479005833
AQP9,0.15424,0.478888079
NXPH4,-0.18575,0.478861916
SNX10,-0.29131,0.478835755
MYH1,0.2202,0.478809595
MAOA,0.14761,0.478783436
OGFOD2,-0.19906,0.478770358
CALB1,-0.14925,0.478704971
FAM153B,-0.30296,0.478652668
NTHL1,0.12872,0.478613445
PAF1,0.025066,0.47839125
Control_159,-0.18577,0.478260599
SMIM3,0.092461,0.478234474
NUFIP2,0.045853,0.478221412
CPN1,-0.085556,0.478156108
SATB2,-0.24954,0.47811693
ZNF417,0.25908,0.478090813
TTLL1,0.24597,0.478064698
C1orf216,0.18282,0.477986362
FOSL1,-0.27399,0.477986362
PCDHB10,-0.14085,0.477973307
VHLL,0.096967,0.477947199
ACTA1,-0.3647,0.477881936
RPLP2,0.10196,0.477842783
LDHC,0.12194,0.477803633
ART5,0.050976,0.477790584
BAIAP2L1,-0.22492,0.477764487
PRR11,0.087223,0.477725344
FZD3,-0.25531,0.477725344
FOXC1,0.11296,0.477634025
CRHBP,-0.41729,0.477542725
ZNF354A,0.070602,0.477529684
KIN,-0.047111,0.477360182
BTN3A1,-0.12306,0.477255907
C10orf99,-0.25349,0.477177717
SHISA4,-0.13186,0.477112569
WDR13,0.092845,0.477086513
HTR2B,0.095358,0.477060458
CDK1,0.34512,0.477021378
ERN2,-0.1188,0.476904162
OPRK1,-0.19003,0.476865097
VSIG10,-0.12169,0.476826035
FAM120B,0.10571,0.47676094
HLA-DRB5,-0.37668,0.476695855
HDAC3,0.15875,0.476669823
DYNC1LI2,-0.17309,0.476617765
SLC27A3,0.12291,0.476578726
EPHA6,-0.14632,0.476500657
CDV3,-0.14777,0.476448619
MYL12B,0.23291,0.476422603
UTP20,-0.15363,0.476422603
IRF2BPL,-0.24656,0.476331557
ALDH3B2,0.066855,0.476253533
INSIG1,0.050376,0.476253533
TMEM110,-0.01264,0.476214526
OR4F15,-0.26584,0.476162523
MKRN2OS,0.14941,0.47598056
PRR20C,-0.25222,0.475928584
GATAD1,0.094942,0.475889607
KCTD11,0.088398,0.475876615
CCNL2,0.14543,0.475863623
CYP4F11,-0.23185,0.475759707
SDHB,-0.11309,0.4756688
MYBL1,-0.1454,0.47564283
LPIN3,-0.16463,0.475629845
H3F3C,-0.058577,0.475616861
DGKG,0.21337,0.475590895
CORO2B,-0.15142,0.475448105
CCR10,-0.17333,0.475422148
TMPRSS9,0.23868,0.475396193
ATP5J,-0.32904,0.475383216
KLHDC8B,-0.08794,0.475214551
SLC35G2,0.055269,0.475175637
VAMP1,0.14431,0.475162667
SOD3,-0.21331,0.475162667
06-Sep,-0.10887,0.475097821
B3GALT2,-0.095326,0.475045951
RPRML,-0.25219,0.475045951
CRB2,0.11436,0.474955193
UBXN6,-0.20221,0.474942229
TRIML1,-0.11022,0.474929266
RWDD4,0.15444,0.474916303
KBTBD13,-0.33589,0.474851493
MBP,0.012197,0.474825572
LZTS1,0.081355,0.474760776
WBSCR27,-0.047326,0.474747818
LTBP4,-0.13986,0.474721903
GSTA3,0.1291,0.474708947
PCSK7,0.14279,0.474683034
OR9G4,-0.17456,0.474683034
COL14A1,-0.19606,0.474579399
OR10G2,-0.084666,0.474566447
CORO6,-0.13411,0.474566447
ISCA2,-0.52055,0.47444989
ACOX1,-0.14186,0.474346311
CYB561A3,0.10845,0.474268643
PP2D1,-0.082848,0.474268643
ZNF143,0.078629,0.474216872
GCC1,-0.18336,0.474190989
AGGF1,-0.33551,0.474190989
SLC14A1,-0.21952,0.474126288
GPR52,0.10344,0.474113348
HCFC1R1,-0.26421,0.473854647
TRPM1,0.14852,0.473815855
GCLM,-0.17298,0.473802926
PLEKHN1,-0.26108,0.47375121
C11orf88,-0.13812,0.473686574
OR4K2,0.13748,0.473609024
DDX60L,0.041552,0.473583177
FUK,0.14208,0.473505645
SGCG,-0.20044,0.473453965
COL9A2,-0.13116,0.473428127
LRRC10,-0.29924,0.473415209
CMSS1,-0.1573,0.473363539
ENOX1,0.14047,0.473324791
CES3,0.0042656,0.473169834
SLC5A2,-0.17237,0.473169834
CCDC81,-0.1998,0.473169834
POPDC3,0.09068,0.473144013
PHACTR2,-0.16949,0.472860084
AFAP1L1,0.17315,0.472821381
PNP,0.064733,0.472769782
ALG6,-0.27777,0.472743985
AEBP2,-0.28462,0.472743985
PTPRB,0.16427,0.472705292
BUD31,-0.22167,0.472653707
HSPB3,-0.24588,0.472627917
KIF17,0.064025,0.472589235
TMEM203,-0.16826,0.472550556
WBSCR16,0.095818,0.472537663
FARSB,0.14058,0.472486098
CNOT6L,-0.17907,0.472460318
ELOVL6,-0.23779,0.472382986
GGCX,0.0025983,0.472357212
GAD1,0.1522,0.472318554
PTPN14,-0.24848,0.472305669
MAPK11,-0.34442,0.472189718
ZBTB12,-0.14554,0.472163955
ERICH6B,-0.10626,0.471906412
FCGR1B,-0.23446,0.471906412
RXFP4,0.10504,0.471893539
ZNF829,0.094332,0.471893539
PAFAH1B3,-0.01847,0.471867794
METTL21A,0.017884,0.471700488
ALS2CR11,-0.26973,0.471623291
LAGE3,0.17516,0.471533246
ARIH1,0.15981,0.471417501
PER3,-0.11225,0.471378926
TCEAL1,-0.11791,0.471327498
C18orf54,-0.16637,0.471276077
FAF1,0.017858,0.471263222
BCL3,-0.17934,0.471224661
Control_112,-0.28386,0.471224661
CALN1,0.11927,0.471147549
CD81,-0.17072,0.471057603
PCGF6,-0.18415,0.47098052
HAPLN3,-0.015553,0.470916295
BCLAF1,-0.23832,0.470864922
RYR1,0.18549,0.47085208
EFCAB14,-0.20845,0.470839238
CNOT1,0.063021,0.470826397
AGRP,-0.20728,0.470659491
MYZAP,-0.24568,0.470659491
NTM,-0.11825,0.470466988
JADE1,-0.25617,0.470377182
PHKG1,0.22274,0.470364354
UFD1L,-0.17542,0.470351526
VCL,-0.26849,0.470338699
TDRD10,0.20641,0.470313046
MEI4,-0.18648,0.470313046
HIVEP2,0.1717,0.470287395
ZNF518A,-0.1114,0.470274569
COIL,0.087419,0.470210449
IL1B,-0.13215,0.470210449
C1QL1,-0.22419,0.470133517
C11orf40,-0.15644,0.470107876
NASP,-0.015023,0.470056598
FAM157B,-0.17606,0.47004378
CNKSR1,-0.1088,0.469941246
ARIH2,-0.15714,0.469825925
FAM206A,-0.080375,0.469813113
RNF180,0.10808,0.469736251
CPT1C,-0.18182,0.469710634
ZNF273,-0.21947,0.469569764
SYT9,-0.18298,0.469544156
TRIM4,-0.13868,0.469531353
PRAMEF15,0.12456,0.469288162
BCL9L,0.0322,0.469249776
CR2,-0.24457,0.469160221
GREM2,-0.0044187,0.469147429
NFIA,-0.11734,0.469057896
HIC2,0.14446,0.468968381
PFKFB4,-0.19938,0.468930023
SCOC,0.18776,0.468917238
SLC4A8,-0.15944,0.468751064
PI4K2A,-0.31727,0.468687168
RASL11B,-0.13817,0.468610506
RPAIN,-0.21137,0.468572179
TIMP2,-0.26701,0.46854663
DTX2,-0.20209,0.46850831
ZNF433,0.1202,0.468495537
ZC3H7B,0.099077,0.468418908
MON2,0.16847,0.46836783
FAM114A2,0.067327,0.468355061
CD83,0.0071376,0.468355061
UGP2,-0.30762,0.46830399
STUB1,0.11164,0.468291223
KRTAP10-7,0.18346,0.468278457
LIMK2,-0.13946,0.468265691
ARAP3,-0.16231,0.468265691
ACSL5,-0.094335,0.46824016
STYK1,-0.058786,0.468176339
H2AFY,-0.16578,0.468099766
ATAD3C,0.032504,0.468087005
TMEM241,-0.22821,0.468087005
NPEPL1,0.14208,0.46799769
ELF3,-0.14453,0.46799769
TAS2R38,-0.16996,0.467959418
LRAT,-0.23075,0.467959418
ZNF333,-0.17168,0.467921149
ARL17B,-0.25999,0.467895639
CHMP4C,-0.22697,0.467717105
KLHL28,0.081501,0.467615119
MTRNR2L6,0.12329,0.467589627
SLC30A7,0.062709,0.467449443
TGFBRAP1,-0.17455,0.467449443
FOXB2,-0.18296,0.467372999
COL4A1,0.086935,0.467360259
PXMP2,-0.30991,0.467360259
ALDH16A1,0.003561,0.46734752
C11orf54,-0.22388,0.46734752
INSL3,0.1841,0.467296568
SYNGR1,0.099605,0.467271094
ANAPC2,0.013318,0.467271094
PZP,-0.22938,0.467207415
ARHGEF37,-0.19036,0.467169212
LRRC26,-0.31652,0.467143746
CASQ1,-0.25623,0.467118281
ORC5,-0.19121,0.467054624
MAP3K9,0.17212,0.466990978
STAT1,-0.026529,0.466940067
C6orf118,-0.29999,0.466940067
ZNF227,0.061068,0.46692734
NOTCH4,-0.11551,0.466800093
PLAC9,-0.3937,0.466711042
LCE1A,0.11714,0.466672883
KCNV1,-0.15307,0.46652028
SRSF6,0.2851,0.466482138
ZNF585B,0.10994,0.466443999
TXLNG,0.043672,0.466418575
FSBP,0.13423,0.466380442
OR7E24,-1.0168,0.466316893
RAG1,-0.16657,0.466291477
CDH19,-0.11796,0.466266062
POLR3C,0.16032,0.466113602
NTN5,0.16395,0.466024692
CASZ1,-0.10817,0.465986593
JMJD7,-0.20475,0.465961195
PLEKHH3,-0.18943,0.465923102
ACOT4,-0.032736,0.465910405
FAU,0.070916,0.465885012
PLCD4,0.1836,0.465808843
YIPF6,-0.22136,0.465783456
SPATA4,-0.18993,0.465656543
MYH11,-0.36984,0.465605789
TICAM1,0.086013,0.465567727
ARID1A,0.098446,0.46555504
NOTCH2NL,0.020442,0.465504297
SQSTM1,0.075749,0.465478928
TMEM182,-0.64193,0.465466244
FAM214A,0.1245,0.465402829
ZNF365,-0.088136,0.465390148
H2AFY2,0.002532,0.465250672
NSMCE1,-0.3306,0.465250672
CDC37,0.048104,0.465212641
ROR2,-0.19442,0.465199965
ZNF692,-0.25105,0.465199965
FAM124A,0.046798,0.465085896
PRMT3,0.13622,0.465047879
TLDC1,-0.10011,0.465035208
INPP5B,0.052034,0.464857846
GEMIN7,-0.12174,0.464857846
SLITRK3,-0.16178,0.464857846
WBP1L,0.10901,0.46481985
KCNJ4,0.11831,0.464807185
PTPRK,0.23564,0.464756529
CLSTN2,-0.038025,0.464756529
USP17L22,0.21888,0.46470588
RNF41,-0.087943,0.464680557
TCTN1,-0.21256,0.464680557
BAG2,-0.22325,0.464566624
NSUN7,-0.11935,0.464490685
MALSU1,-0.68799,0.464440067
MED11,-0.31835,0.464427413
CDK15,0.083815,0.464376802
DDHD2,0.12974,0.464300896
PDE6H,-0.14432,0.464237652
WDR12,-0.44271,0.464022689
HEXIM2,-0.15748,0.463972125
KRIT1,-0.18068,0.46389629
SELT,-0.22133,0.463883652
ANPEP,-0.34953,0.463757293
SORBS2,-0.33694,0.463744659
GRP,-0.19185,0.463605711
CLCN1,-0.17294,0.46349206
STEAP4,-0.17055,0.463466808
GDF2,0.064849,0.463454182
INF2,0.088277,0.463416308
DOCK7,-0.0074791,0.463391061
C16orf82,0.024523,0.463365815
LILRB1,-0.21142,0.463126051
GORASP2,0.017621,0.463113436
CCDC154,-0.0023038,0.463113436
CFHR4,0.12349,0.463050364
KLF14,0.12046,0.463050364
P3H4,-0.093136,0.46303775
PURG,-0.31873,0.462999913
C2orf83,0.0042297,0.462987301
FOXE1,-0.31453,0.462962078
AKR1C2,0.17346,0.462949468
CRISP1,-0.069997,0.462949468
USP21,-0.21096,0.462936857
CLK2,0.01796,0.462924247
NT5C1B-RDH14,-0.20859,0.462911638
TMEM150B,-0.14879,0.462873811
SAAL1,0.15792,0.462835988
NUPL1,-0.25527,0.462747746
EVI5,-0.15831,0.462684727
SURF6,0.19541,0.46264692
PATE1,0.016642,0.46264692
Control_72,-0.066661,0.462634318
SEC23B,-0.24837,0.462533519
CENPP,-0.96823,0.462508323
PPP2R5B,0.043177,0.462470531
BOLA3,-0.37541,0.462445339
KAT2B,-0.15127,0.462407552
SRP14,-0.21516,0.462281623
HIST1H2BI,0.12454,0.462168317
SRSF4,-0.12742,0.462117968
S100A16,-0.089229,0.462092796
GPM6B,0.018019,0.461992122
MCCD1,-0.16043,0.461992122
ADAD1,-0.16277,0.461992122
CRLF2,-0.19577,0.461966957
PICK1,0.12433,0.461929213
RTP2,0.18975,0.461904052
CDCP2,0.14222,0.461815999
BHLHE40,0.087452,0.461815999
DLX3,0.19675,0.461790845
GABRG1,-0.12924,0.461753115
MORN3,0.13967,0.461727964
TAF9,-0.22361,0.461727964
HIST1H2AK,-0.22527,0.461489103
C7orf43,-0.17963,0.461463967
GTF3C2,-0.40041,0.461463967
ESD,-0.014779,0.461401134
GOLPH3,-0.33294,0.46130062
TSC22D3,-0.18495,0.461275496
NDP,0.10314,0.461162452
CAMP,-0.01487,0.461124777
BAALC,0.15179,0.46111222
PKIA,-0.25763,0.461061994
PIK3IP1,-0.13373,0.461036883
ANLN,0.12283,0.461024328
SOWAHD,-0.15591,0.461011773
DPY19L2,0.064835,0.460836047
C16orf91,0.097222,0.460798401
RAP2B,-0.12355,0.460773305
C8orf86,-0.1679,0.460773305
FPR1,0.01176,0.460723118
ATF1,-0.26049,0.460698026
CSPG5,0.011904,0.460610218
HAT1,0.061446,0.460585133
MUC5B,0.1145,0.46056005
ZNF442,-0.20228,0.460547508
OR4M1,-0.17414,0.460534968
OPA3,0.085706,0.460509887
CAPN13,-0.21032,0.460472269
ATP6V0A4,-0.052528,0.460434654
EEF2KMT,0.13057,0.460422117
LDB2,0.028459,0.460409579
ITGA10,-0.19783,0.460397043
CRX,-0.23339,0.460397043
GAMT,0.10865,0.460359434
ZNF792,-0.041159,0.460321829
NFKBIZ,-0.25723,0.460296761
ERCC5,-0.29854,0.460171442
HCN2,0.11398,0.460096267
SMC2,0.11751,0.45998353
CTAGE4,-0.22765,0.459971006
CLCNKA,-0.25147,0.459971006
CA3,-0.15964,0.459908388
HIST1H2AH,0.074525,0.45984578
NFKB2,-0.083957,0.45980822
FSIP1,-0.50196,0.45965801
SCN1B,0.12185,0.459620465
GNA11,0.10324,0.459532874
TBC1D31,-0.17455,0.459420283
MAGOH,-0.20041,0.459407775
CCNG2,-0.17693,0.459332733
KDM5D,-0.1709,0.459082686
MYOZ3,0.087006,0.459045191
DAD1,-0.8505,0.459032694
HOXC5,-0.039801,0.458995203
DGCR14,0.043073,0.458982707
F8A3,0.36832,0.458932726
OR11H6,-0.32675,0.458920232
EWSR1,-0.20487,0.458882752
POLR2E,0.065432,0.458857766
ETNPPL,0.20413,0.458820291
SPINK8,-0.13746,0.458795309
CLCF1,-0.27113,0.45874535
NONO,-0.25051,0.458732861
RANBP2,0.11844,0.458707885
DPP7,0.087489,0.458657936
CYP20A1,-0.15706,0.458570539
ARR3,-0.14136,0.458508123
GPC6,0.13953,0.458495641
AMIGO3,0.023054,0.458383318
Control_219,0.0014031,0.458358362
GGT7,0.14099,0.45825855
NID1,0.053489,0.4582336
Control_104,0.071502,0.458133817
GPR75-ASB3,0.17328,0.458083934
KLF13,-0.27086,0.458083934
EBP,0.14437,0.458058995
FAM9C,-0.23274,0.458046526
SLC35E1,-0.39012,0.457909388
BCL2L10,0.096705,0.457734913
SMPD3,0.000098309,0.457709994
CACNG8,0.11211,0.457685076
TAX1BP3,-0.23684,0.457685076
PRKCI,0.13511,0.457647701
RCBTB1,0.12965,0.457635244
NDUFB9,-0.25806,0.457635244
NOMO2,-0.083298,0.457585418
PADI6,0.012945,0.457560507
OSBPL2,-0.28533,0.457523144
KRTAP7-1,0.080259,0.457498237
HPGD,-0.20962,0.457460879
RNF123,0.10912,0.457348824
COMMD4,0.029811,0.457274136
BCHE,-0.14454,0.457236797
C21orf91,-0.21463,0.4571248
TMEM70,-0.064668,0.457050151
COMMD9,0.17775,0.457025271
FGF1,-0.28532,0.457012832
SPACA4,0.15094,0.456963077
TAS2R19,-0.19735,0.456950639
DZIP1L,-0.1932,0.45687602
KMT2D,0.11695,0.45685115
MAT1A,-0.20621,0.45685115
SASH1,0.1665,0.456813848
LPXN,-0.20595,0.456788981
SSX5,-0.10225,0.456776549
PRH2,-0.37234,0.456726821
TTC28,0.10431,0.456652241
VPS13C,0.1255,0.456627383
PPIAL4E,0.28234,0.4565901
EIF4EBP1,-0.23641,0.456490694
C16orf13,-0.052174,0.456440999
SH3KBP1,-0.17507,0.456403732
SLC38A4,-0.22159,0.456304368
MAP3K13,-0.23238,0.456267112
KRT82,0.15608,0.456254694
NT5M,0.14025,0.456242277
NFIB,0.021849,0.456192611
C20orf141,-0.035828,0.456192611
ATF6,-0.16331,0.456192611
ZNF440,-0.15983,0.456093295
SH3D21,0.1308,0.456080882
KIF26B,0.086939,0.456006413
GPR176,-0.12438,0.455956773
RND1,0.0057214,0.455931956
SSC4D,0.18849,0.455882325
DEFB113,-0.25939,0.455807889
DLK1,-0.2816,0.455733466
ERG,0.13235,0.45569626
UBLCP1,-0.15662,0.45569626
WNT11,0.006224,0.455646656
P3H3,-0.19763,0.455646656
ATP8A1,-0.15623,0.455609457
SF3B3,0.22768,0.455547465
DCLRE1C,0.11903,0.455522671
TCEA3,-0.15753,0.455473087
RIC8A,-0.20234,0.455473087
C17orf96,-0.21121,0.455411115
SRGAP1,-0.20213,0.455386328
SHFM1,-0.28615,0.455361543
MAP4K2,0.13399,0.455262418
QSER1,-0.17718,0.455262418
PRSS45,0.043614,0.455250029
PTGIR,0.012402,0.45523764
R3HDM4,-0.25722,0.455188088
ATP6V1E2,-0.38131,0.455175701
ACAD8,-0.15209,0.455163315
AIFM3,-0.20181,0.455101387
HLA-DQA2,-0.018651,0.455064234
PVRL3,-0.066935,0.455027085
TRABD,0.052686,0.454940415
C4BPA,0.048231,0.454940415
Control_173,-0.18391,0.454915656
MFSD8,-0.053099,0.454841386
XRCC5,-0.27632,0.454779504
CXCL9,-0.16792,0.45471763
FAM98A,0.18583,0.454680511
ARIH2OS,-0.16952,0.454680511
HERC5,-0.20494,0.454643394
TBX18,0.044,0.454507327
CUEDC2,-0.28636,0.45449496
BRPF3,-0.18682,0.454470226
DMRTA1,-0.29545,0.454457859
XRN2,0.082429,0.454396032
SPANXB1,-0.30147,0.454346576
NBPF12,-0.13657,0.454222961
MLH1,0.1737,0.454161167
ADAMTSL5,-0.18766,0.454111739
ZFYVE27,0.10813,0.454099382
SPAG11A,-0.45463,0.454062315
AFP,-0.17871,0.45404996
C1orf186,0.080978,0.454000544
OTOA,0.12656,0.45392643
ZMAT3,0.15815,0.453889378
KDM1A,-0.15241,0.453864679
PAGE2,-0.11289,0.453827632
F2RL3,0.16026,0.453815283
GNB1,0.097768,0.453778241
LOC100129083,-0.20668,0.453778241
BTBD1,0.048665,0.453765894
DOPEY1,-0.18847,0.453753547
ESRRB,-0.075943,0.453728855
PEX11A,-0.20002,0.45369182
FAM180B,0.03559,0.453667132
CCL16,-0.18964,0.453654788
CNTNAP2,-0.15995,0.453617759
FAM65C,-0.23048,0.45354371
PHF23,-0.20765,0.45351903
TWISTNB,0.018118,0.453309307
GJA1,0.027632,0.453296973
IL13,-0.26138,0.453235311
CMTM3,-0.12962,0.453173657
USP17L4,0.15875,0.453148998
B4GALNT2,-0.032525,0.453136669
USP39,0.040677,0.453013399
KRT77,-0.20423,0.45292713
WDR49,-0.22696,0.452914807
SNURF,0.096867,0.452877841
LY75,-0.28705,0.452877841
RAB4A,-0.16043,0.452853199
SYNDIG1,0.023501,0.4527916
HOXB13,-0.063576,0.452754644
SRP54,0.041459,0.452742327
HEXIM1,0.21072,0.452693059
TMEM89,-0.11596,0.452680743
ZNF354B,-0.20849,0.452680743
MRPL14,-0.22715,0.452668427
MAATS1,0.02704,0.452631482
TSHZ3,0.040517,0.452545289
CBX7,-0.12951,0.452520666
ERI1,-0.17247,0.452471424
CDK5R1,-0.17436,0.452446804
AUNIP,-0.27579,0.452446804
ZNF527,-0.21355,0.452409878
FAM132A,0.035397,0.452336035
TLDC2,-0.15611,0.452274509
GOSR2,-0.18304,0.452274509
SCAF4,0.069702,0.452249901
HSF2BP,0.034205,0.452126882
ARL15,-0.20656,0.452089983
RPAP1,-0.28891,0.452053087
AAMP,-0.15158,0.452040789
LCMT1,-0.33838,0.451954714
GDF9,-0.3509,0.451917829
YRDC,0.14276,0.451856363
ZNF441,-0.063736,0.451782614
WIPI2,0.074752,0.451758034
VCP,0.13362,0.451733455
OR6C6,-0.23246,0.451733455
CKAP4,0.14476,0.451696589
MIB1,0.04057,0.451684301
SLC35A4,-0.26707,0.451684301
SSR2,0.16503,0.451622868
DNAJB3,-0.22621,0.451610582
CDCA7,-0.2722,0.451598296
KRTAP19-6,-0.19003,0.451487744
BTBD16,-0.24602,0.451389498
GPR156,0.037246,0.45136494
CDK16,-0.18719,0.451352662
LRPAP1,-0.21728,0.451266722
FAM177A1,-0.04799,0.451168527
SEZ6L2,-0.14126,0.451168527
RPS23,0.21469,0.451143981
KLC2,-0.10626,0.451094895
ARHGAP33,-0.07118,0.451009006
MYO1H,-0.23394,0.450996738
SNX3,-0.084816,0.45098447
PLEK,0.15275,0.450972202
PRR13,0.062848,0.450935401
FAM63B,0.11376,0.450923135
KIR2DL3,0.2943,0.450861809
MYL1,-0.1691,0.450726921
BCL2L13,0.028595,0.450690141
BCS1L,-0.41301,0.450690141
CLDN2,0.057947,0.450677882
EBI3,-0.26736,0.450592076
PLGLB1,-0.48722,0.450592076
CCDC50,0.12335,0.450494033
SERHL2,-0.18438,0.450432767
PLA2G10,0.11152,0.450408263
RERE,0.027508,0.45037151
ETS1,-0.31249,0.450249021
HECTD1,0.15366,0.450175545
ZMYM3,-0.20166,0.450175545
C9orf153,0.17568,0.4501633
CDH7,-0.21235,0.450114324
RPS3,0.17392,0.450065354
PRKCQ,0.094331,0.450040871
MADCAM1,0.19102,0.449967429
KLRG2,0.010253,0.44995519
ZNF496,-0.097009,0.449918476
RRP7A,-0.26987,0.449918476
SPSB4,0.084452,0.449796115
TXNDC5,-0.26131,0.449759413
SLC35G1,0.22324,0.44974718
RNF167,0.12078,0.44974718
ENDOU,0.12604,0.449734948
CLNK,-0.28487,0.449673789
ANKRD6,0.15226,0.449661558
TCN1,-0.13896,0.449661558
MVK,-0.39526,0.449637098
MTMR4,0.16095,0.44960041
EIF2B4,0.070182,0.44953927
POFUT2,-0.17428,0.449527043
CDCA8,-0.23337,0.449392569
SPRR2E,-0.29468,0.449331459
CCR7,0.11596,0.449307017
DCUN1D5,-0.22954,0.449270357
SCN2B,-0.29383,0.449209263
NHS,0.11241,0.449172612
OR51E2,-0.22301,0.449111532
OR2Z1,-0.10496,0.449038248
TGIF1,-0.23489,0.449026035
GATS,0.16345,0.448989398
NME5,-0.20131,0.448977187
ADGRB2,-0.14268,0.448952765
